Array Size: 50000 | Order: Ascending | Iteration: 1 | Time: 470 ns
Array Size: 50000 | Order: Ascending | Iteration: 2 | Time: 168 ns
Array Size: 50000 | Order: Ascending | Iteration: 3 | Time: 105 ns
Array Size: 50000 | Order: Ascending | Iteration: 4 | Time: 68 ns
Array Size: 50000 | Order: Ascending | Iteration: 5 | Time: 65 ns
Algorithm: search.BinarySearcher | Array Size: 1000000 | Order: Ascending | Avg Time: 155 ns
Array Size: 1000000 | Order: Ascending | Iteration: 1 | Time: 456 ns
Array Size: 1000000 | Order: Ascending | Iteration: 2 | Time: 103 ns
Array Size: 1000000 | Order: Ascending | Iteration: 3 | Time: 105 ns
Array Size: 1000000 | Order: Ascending | Iteration: 4 | Time: 60 ns
Array Size: 1000000 | Order: Ascending | Iteration: 5 | Time: 54 ns
Algorithm: search.ExponentialSearcher | Array Size: 1000 | Order: Ascending | Avg Time: 115 ns
Array Size: 1000 | Order: Ascending | Iteration: 1 | Time: 262 ns
Array Size: 1000 | Order: Ascending | Iteration: 2 | Time: 108 ns
Array Size: 1000 | Order: Ascending | Iteration: 3 | Time: 79 ns
Array Size: 1000 | Order: Ascending | Iteration: 4 | Time: 68 ns
Array Size: 1000 | Order: Ascending | Iteration: 5 | Time: 61 ns
Algorithm: search.ExponentialSearcher | Array Size: 10000 | Order: Ascending | Avg Time: 131 ns
Array Size: 10000 | Order: Ascending | Iteration: 1 | Time: 289 ns
Array Size: 10000 | Order: Ascending | Iteration: 2 | Time: 132 ns
Array Size: 10000 | Order: Ascending | Iteration: 3 | Time: 82 ns
Array Size: 10000 | Order: Ascending | Iteration: 4 | Time: 82 ns
Array Size: 10000 | Order: Ascending | Iteration: 5 | Time: 71 ns
Algorithm: search.ExponentialSearcher | Array Size: 50000 | Order: Ascending | Avg Time: 192 ns
Array Size: 50000 | Order: Ascending | Iteration: 1 | Time: 562 ns
Array Size: 50000 | Order: Ascending | Iteration: 2 | Time: 137 ns
Array Size: 50000 | Order: Ascending | Iteration: 3 | Time: 107 ns
Array Size: 50000 | Order: Ascending | Iteration: 4 | Time: 82 ns
Array Size: 50000 | Order: Ascending | Iteration: 5 | Time: 75 ns
Algorithm: search.ExponentialSearcher | Array Size: 1000000 | Order: Ascending | Avg Time: 306 ns
Array Size: 1000000 | Order: Ascending | Iteration: 1 | Time: 1075 ns
Array Size: 1000000 | Order: Ascending | Iteration: 2 | Time: 168 ns
Array Size: 1000000 | Order: Ascending | Iteration: 3 | Time: 127 ns
Array Size: 1000000 | Order: Ascending | Iteration: 4 | Time: 94 ns
Array Size: 1000000 | Order: Ascending | Iteration: 5 | Time: 70 ns
Algorithm: search.BinarySearchTreeSearcher | Array Size: 1000 | Order: Ascending | Avg Time: 1797 ns
Array Size: 1000 | Order: Ascending | Iteration: 1 | Time: 1856 ns
Array Size: 1000 | Order: Ascending | Iteration: 2 | Time: 1785 ns
Array Size: 1000 | Order: Ascending | Iteration: 3 | Time: 1783 ns
Array Size: 1000 | Order: Ascending | Iteration: 4 | Time: 1781 ns
Array Size: 1000 | Order: Ascending | Iteration: 5 | Time: 1782 ns
Algorithm: search.BinarySearchTreeSearcher | Array Size: 1000 | Order: Descending | Avg Time: 342 ns
Array Size: 1000 | Order: Descending | Iteration: 1 | Time: 445 ns
Array Size: 1000 | Order: Descending | Iteration: 2 | Time: 331 ns
Array Size: 1000 | Order: Descending | Iteration: 3 | Time: 316 ns
Array Size: 1000 | Order: Descending | Iteration: 4 | Time: 323 ns
Array Size: 1000 | Order: Descending | Iteration: 5 | Time: 299 ns
Algorithm: search.BinarySearchTreeSearcher | Array Size: 1000 | Order: Random | Avg Time: 98 ns
Array Size: 1000 | Order: Random | Iteration: 1 | Time: 165 ns
Array Size: 1000 | Order: Random | Iteration: 2 | Time: 105 ns
Array Size: 1000 | Order: Random | Iteration: 3 | Time: 85 ns
Array Size: 1000 | Order: Random | Iteration: 4 | Time: 69 ns
Array Size: 1000 | Order: Random | Iteration: 5 | Time: 67 ns
Algorithm: search.BinarySearchTreeSearcher | Array Size: 10000 | Order: Ascending | Avg Time: 12209 ns
Array Size: 10000 | Order: Ascending | Iteration: 1 | Time: 12297 ns
Array Size: 10000 | Order: Ascending | Iteration: 2 | Time: 12078 ns
Array Size: 10000 | Order: Ascending | Iteration: 3 | Time: 12097 ns
Array Size: 10000 | Order: Ascending | Iteration: 4 | Time: 12273 ns
Array Size: 10000 | Order: Ascending | Iteration: 5 | Time: 12302 ns
Algorithm: search.BinarySearchTreeSearcher | Array Size: 10000 | Order: Descending | Avg Time: 13519 ns
Array Size: 10000 | Order: Descending | Iteration: 1 | Time: 13599 ns
Array Size: 10000 | Order: Descending | Iteration: 2 | Time: 13639 ns
Array Size: 10000 | Order: Descending | Iteration: 3 | Time: 13465 ns
Array Size: 10000 | Order: Descending | Iteration: 4 | Time: 13430 ns
Array Size: 10000 | Order: Descending | Iteration: 5 | Time: 13463 ns
Algorithm: search.BinarySearchTreeSearcher | Array Size: 10000 | Order: Random | Avg Time: 153 ns
Array Size: 10000 | Order: Random | Iteration: 1 | Time: 358 ns
Array Size: 10000 | Order: Random | Iteration: 2 | Time: 143 ns
Array Size: 10000 | Order: Random | Iteration: 3 | Time: 99 ns
Array Size: 10000 | Order: Random | Iteration: 4 | Time: 93 ns
Array Size: 10000 | Order: Random | Iteration: 5 | Time: 72 ns
Algorithm: search.BinarySearchTreeSearcher | Array Size: 50000 | Order: Ascending | Avg Time: 27570 ns
Array Size: 50000 | Order: Ascending | Iteration: 1 | Time: 27518 ns
Array Size: 50000 | Order: Ascending | Iteration: 2 | Time: 27672 ns
Array Size: 50000 | Order: Ascending | Iteration: 3 | Time: 27581 ns
Array Size: 50000 | Order: Ascending | Iteration: 4 | Time: 27451 ns
Array Size: 50000 | Order: Ascending | Iteration: 5 | Time: 27630 ns
Algorithm: search.BinarySearchTreeSearcher | Array Size: 50000 | Order: Descending | Avg Time: 33157 ns
Array Size: 50000 | Order: Descending | Iteration: 1 | Time: 33247 ns
Array Size: 50000 | Order: Descending | Iteration: 2 | Time: 33182 ns
